
2024/02/29 (16:12:41) | ===> btop++ v.1.3.2
2024/02/29 (16:12:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/29 (16:12:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/29 (16:12:45) | ===> btop++ v.1.3.2
2024/02/29 (16:12:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/29 (16:12:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/29 (16:14:51) | ===> btop++ v.1.3.2
2024/02/29 (16:14:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/29 (16:14:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/29 (16:19:02) | ===> btop++ v.1.3.2
2024/02/29 (16:19:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/29 (16:19:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported
